id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3792482,Rustic Elegance Retreat!,19471112,Amy,,Monte Sereno,37.24067,-121.98615,Private room,,1,264,2024-06-18,2.20,1,209,33,
3821482,The Bangalore House & Oasis @ SJC,19657745,Srini,,San Jose,37.34036,-121.92688,Private room,96,1,11,2016-11-12,0.09,1,89,0,
3821766,Private Entry near Stanford & G00gle,6610193,Karen,,Los Altos,37.39203,-122.10567,Entire home/apt,169,30,160,2019-10-28,1.35,2,99,0,
3869637,Luxury Townhouse MV 3BR/4BA,828473,Kunal,,Mountain View,37.38475,-122.05746,Entire home/apt,350,31,48,2020-08-24,0.40,1,362,0,
3897960,Mid-Century Modern One Bedroom Apartment,14112462,Angela,,San Jose,37.40065,-121.92307,Entire home/apt,160,1,388,2024-06-07,3.34,1,100,23,
3938025,Spacious + Comfort + Pool + Location: Perfect Spot,2586169,Lorena,,Santa Clara,37.39735,-121.95734,Entire home/apt,425,3,39,2024-05-19,0.33,2,327,1,
4015250,Mountain View Pied-a-Terre,20818900,Anita,,Mountain View,37.38961,-122.09988,Entire home/apt,158,20,55,2024-05-31,0.47,1,121,7,
4052133,Co-Living #2~travelers on tight budget~Sunnyvale,2899101,Christina,,Sunnyvale,37.38257,-122.01976,Private room,50,31,50,2024-03-08,0.42,24,224,2,2017-7717
4076753,Charming studio cottage in garden,21144987,Charisse,,San Jose,37.29738,-121.97603,Private room,76,2,357,2024-06-17,3.07,1,31,13,
4092562,Modern Retreat in the Heart of Silicon Valley,2586169,Lorena,,Santa Clara,37.39651,-121.95792,Entire home/apt,425,2,31,2024-03-16,0.27,2,324,7,
4099330,Private Room #1 Downtown San Jose,17827419,Sean,,San Jose,37.336967774602584,-121.88315559429405,Private room,39,1,481,2023-11-12,4.10,2,275,21,
4113230,Sequoia Redwood Garden in Sunnyvale,21342686,Linda,,Sunnyvale,37.38604,-122.04444,Private room,52,31,135,2023-08-30,1.14,2,115,2,
4143270,Amazing and comfortable full apt,13683210,Mark,,Mountain View,37.40415,-122.0742,Entire home/apt,120,300,5,2015-01-26,0.04,1,365,0,
4146085,Bright comfortable room,16882189,Cindy,,San Jose,37.26992,-121.84926,Private room,44,2,113,2024-05-19,0.95,3,141,4,
4165799,Modern Suite w/ luxury bath @ San Jose/Los Gatos,3414129,Bei,,San Jose,37.24961,-121.94892,Private room,91,1,87,2024-05-12,0.74,3,282,30,
4173544,Beautiful room with private bath near Stanford,917584,Alex,,Palo Alto,37.44281,-122.13414,Private room,79,1,333,2020-03-12,2.82,1,0,0,
4219465,Quiet room near Stanford,14987456,Beth,,Palo Alto,37.4143,-122.1379,Private room,97,60,64,2024-05-18,0.54,1,306,3,
4231492,Charming Los Gatos Cottage A,5304855,Chris,,Los Gatos,37.22313,-121.96994,Entire home/apt,125,21,47,2024-05-23,0.40,3,214,4,
4237854,"One mile from apple campus, B&B!",21992940,Kelsey,,San Jose,37.30718,-122.03027,Private room,,1,0,,,1,0,0,
4249517,"Nice room in a big house, 3 min walk to Boulevard",22051073,Tony,,Santa Clara,37.35513,-121.96897,Private room,109,1,6,2018-08-30,0.05,2,224,0,
